Model Name, Accuracy_train,Sensitivity_train,Specificity_train,ROC_AUC_train, ,Accuracy_external,Sensitivity_external,Specificity_external,ROC_AUC_external
 Naive Bayes,0.792380136986301,0.766267123287671,0.818493150684932,0.792380136986301,,0.785223367697594,0.766323024054983,0.804123711340206,0.785223367697594
 Random Forest,0.999143835616438,0.998287671232877,1,0.999143835616438,,0.890034364261168,0.907216494845361,0.872852233676976,0.890034364261168
 SVM,0.800085616438356,0.788527397260274,0.811643835616438,0.800085616438356,,0.804123711340206,0.797250859106529,0.810996563573883,0.804123711340206
 SVM Radial,0.978595890410959,0.966609589041096,0.990582191780822,0.978595890410959,,0.893470790378007,0.927835051546392,0.859106529209622,0.893470790378007
 J48,0.930222602739726,0.934931506849315,0.925513698630137,0.930222602739726,,0.836769759450172,0.845360824742268,0.828178694158076,0.836769759450172
 ELM,0.839041095890411,0.844178082191781,0.833904109589041,0.839041095890411,,0.709621993127148,0.721649484536082,0.697594501718213,0.709621993127148
 Adaboost,0.999143835616438,0.999143835616438,0.999143835616438,0.999143835616438,,0.874570446735395,0.890034364261168,0.859106529209622,0.874570446735395
 KNN,0.774828767123288,0.752568493150685,0.79708904109589,0.774828767123288,,0.632302405498282,0.611683848797251,0.652920962199313,0.632302405498282
